,yardline_100,total_num_plays,drive_end_transition,num_plays_of_type,fraction_of_plays_at_yardline
0,1.0,711,BLOCKED_OR_MISSED_FG,0,0.0
1,1.0,711,BLOCKED_PUNT,0,0.0
2,1.0,711,DOWNS,16,0.02250351617440225
3,1.0,711,FIELD_GOAL,37,0.052039381153305204
4,1.0,711,PUNT,0,0.0
5,1.0,711,SAFETY,0,0.0
6,1.0,711,TOUCHDOWN,635,0.8931082981715893
7,1.0,711,TURNOVER,23,0.03234880450070324
8,2.0,382,BLOCKED_OR_MISSED_FG,0,0.0
9,2.0,382,BLOCKED_PUNT,0,0.0
10,2.0,382,DOWNS,12,0.031413612565445025
11,2.0,382,FIELD_GOAL,31,0.08115183246073299
12,2.0,382,PUNT,0,0.0
13,2.0,382,SAFETY,0,0.0
14,2.0,382,TOUCHDOWN,325,0.8507853403141361
15,2.0,382,TURNOVER,14,0.03664921465968586
16,3.0,404,BLOCKED_OR_MISSED_FG,1,0.0024752475247524753
17,3.0,404,BLOCKED_PUNT,0,0.0
18,3.0,404,DOWNS,8,0.019801980198019802
19,3.0,404,FIELD_GOAL,42,0.10396039603960396
20,3.0,404,PUNT,0,0.0
21,3.0,404,SAFETY,0,0.0
22,3.0,404,TOUCHDOWN,344,0.8514851485148515
23,3.0,404,TURNOVER,9,0.022277227722772276
24,4.0,435,BLOCKED_OR_MISSED_FG,1,0.0022988505747126436
25,4.0,435,BLOCKED_PUNT,0,0.0
26,4.0,435,DOWNS,13,0.029885057471264367
27,4.0,435,FIELD_GOAL,75,0.1724137931034483
28,4.0,435,PUNT,0,0.0
29,4.0,435,SAFETY,0,0.0
30,4.0,435,TOUCHDOWN,333,0.7655172413793103
31,4.0,435,TURNOVER,13,0.029885057471264367
32,5.0,431,BLOCKED_OR_MISSED_FG,0,0.0
33,5.0,431,BLOCKED_PUNT,0,0.0
34,5.0,431,DOWNS,18,0.04176334106728538
35,5.0,431,FIELD_GOAL,69,0.16009280742459397
36,5.0,431,PUNT,0,0.0
37,5.0,431,SAFETY,0,0.0
38,5.0,431,TOUCHDOWN,329,0.7633410672853829
39,5.0,431,TURNOVER,15,0.03480278422273782
40,6.0,377,BLOCKED_OR_MISSED_FG,3,0.007957559681697613
41,6.0,377,BLOCKED_PUNT,0,0.0
42,6.0,377,DOWNS,14,0.03713527851458886
43,6.0,377,FIELD_GOAL,82,0.21750663129973474
44,6.0,377,PUNT,0,0.0
45,6.0,377,SAFETY,0,0.0
46,6.0,377,TOUCHDOWN,266,0.7055702917771883
47,6.0,377,TURNOVER,12,0.03183023872679045
48,7.0,438,BLOCKED_OR_MISSED_FG,1,0.00228310502283105
49,7.0,438,BLOCKED_PUNT,0,0.0
50,7.0,438,DOWNS,22,0.0502283105022831
51,7.0,438,FIELD_GOAL,100,0.228310502283105
52,7.0,438,PUNT,0,0.0
53,7.0,438,SAFETY,0,0.0
54,7.0,438,TOUCHDOWN,295,0.6735159817351598
55,7.0,438,TURNOVER,20,0.045662100456621
56,8.0,433,BLOCKED_OR_MISSED_FG,3,0.006928406466512702
57,8.0,433,BLOCKED_PUNT,0,0.0
58,8.0,433,DOWNS,18,0.04157043879907621
59,8.0,433,FIELD_GOAL,102,0.23556581986143188
60,8.0,433,PUNT,0,0.0
61,8.0,433,SAFETY,0,0.0
62,8.0,433,TOUCHDOWN,291,0.6720554272517321
63,8.0,433,TURNOVER,19,0.04387990762124711
64,9.0,472,BLOCKED_OR_MISSED_FG,2,0.00423728813559322
65,9.0,472,BLOCKED_PUNT,0,0.0
66,9.0,472,DOWNS,22,0.046610169491525424
67,9.0,472,FIELD_GOAL,129,0.2733050847457627
68,9.0,472,PUNT,0,0.0
69,9.0,472,SAFETY,0,0.0
70,9.0,472,TOUCHDOWN,286,0.6059322033898306
71,9.0,472,TURNOVER,33,0.06991525423728813
72,10.0,390,BLOCKED_OR_MISSED_FG,3,0.007692307692307693
73,10.0,390,BLOCKED_PUNT,0,0.0
74,10.0,390,DOWNS,17,0.04358974358974359
75,10.0,390,FIELD_GOAL,101,0.258974358974359
76,10.0,390,PUNT,0,0.0
77,10.0,390,SAFETY,0,0.0
78,10.0,390,TOUCHDOWN,247,0.6333333333333333
79,10.0,390,TURNOVER,22,0.05641025641025641
80,11.0,492,BLOCKED_OR_MISSED_FG,2,0.0040650406504065045
81,11.0,492,BLOCKED_PUNT,0,0.0
82,11.0,492,DOWNS,18,0.036585365853658534
83,11.0,492,FIELD_GOAL,145,0.29471544715447157
84,11.0,492,PUNT,0,0.0
85,11.0,492,SAFETY,0,0.0
86,11.0,492,TOUCHDOWN,304,0.6178861788617886
87,11.0,492,TURNOVER,23,0.046747967479674794
88,12.0,447,BLOCKED_OR_MISSED_FG,4,0.008948545861297539
89,12.0,447,BLOCKED_PUNT,0,0.0
90,12.0,447,DOWNS,19,0.042505592841163314
91,12.0,447,FIELD_GOAL,115,0.25727069351230425
92,12.0,447,PUNT,0,0.0
93,12.0,447,SAFETY,0,0.0
94,12.0,447,TOUCHDOWN,292,0.6532438478747203
95,12.0,447,TURNOVER,17,0.03803131991051454
96,13.0,456,BLOCKED_OR_MISSED_FG,4,0.008771929824561403
97,13.0,456,BLOCKED_PUNT,0,0.0
98,13.0,456,DOWNS,23,0.05043859649122807
99,13.0,456,FIELD_GOAL,147,0.3223684210526316
100,13.0,456,PUNT,0,0.0
101,13.0,456,SAFETY,0,0.0
102,13.0,456,TOUCHDOWN,257,0.5635964912280702
103,13.0,456,TURNOVER,25,0.05482456140350877
104,14.0,529,BLOCKED_OR_MISSED_FG,11,0.020793950850661626
105,14.0,529,BLOCKED_PUNT,0,0.0
106,14.0,529,DOWNS,23,0.043478260869565216
107,14.0,529,FIELD_GOAL,153,0.2892249527410208
108,14.0,529,PUNT,1,0.001890359168241966
109,14.0,529,SAFETY,0,0.0
110,14.0,529,TOUCHDOWN,321,0.6068052930056711
111,14.0,529,TURNOVER,20,0.03780718336483932
112,15.0,516,BLOCKED_OR_MISSED_FG,11,0.02131782945736434
113,15.0,516,BLOCKED_PUNT,0,0.0
114,15.0,516,DOWNS,19,0.03682170542635659
115,15.0,516,FIELD_GOAL,135,0.2616279069767442
116,15.0,516,PUNT,0,0.0
117,15.0,516,SAFETY,0,0.0
118,15.0,516,TOUCHDOWN,318,0.6162790697674418
119,15.0,516,TURNOVER,33,0.06395348837209303
120,16.0,475,BLOCKED_OR_MISSED_FG,7,0.014736842105263158
121,16.0,475,BLOCKED_PUNT,0,0.0
122,16.0,475,DOWNS,18,0.037894736842105266
123,16.0,475,FIELD_GOAL,146,0.30736842105263157
124,16.0,475,PUNT,0,0.0
125,16.0,475,SAFETY,0,0.0
126,16.0,475,TOUCHDOWN,282,0.5936842105263158
127,16.0,475,TURNOVER,22,0.04631578947368421
