,yardline_100,total_num_plays,drive_end_transition,num_plays_of_type,fraction_of_plays_at_yardline
776,98.0,145,BLOCKED_OR_MISSED_FG,2,0.013793103448275862
777,98.0,145,BLOCKED_PUNT,0,0.0
778,98.0,145,DOWNS,1,0.006896551724137931
779,98.0,145,FIELD_GOAL,9,0.06206896551724138
780,98.0,145,PUNT,84,0.5793103448275863
781,98.0,145,SAFETY,6,0.041379310344827586
782,98.0,145,TOUCHDOWN,19,0.1310344827586207
783,98.0,145,TURNOVER,24,0.16551724137931034
784,99.0,175,BLOCKED_OR_MISSED_FG,2,0.011428571428571429
785,99.0,175,BLOCKED_PUNT,0,0.0
786,99.0,175,DOWNS,5,0.02857142857142857
787,99.0,175,FIELD_GOAL,10,0.05714285714285714
788,99.0,175,PUNT,94,0.5371428571428571
789,99.0,175,SAFETY,18,0.10285714285714286
790,99.0,175,TOUCHDOWN,17,0.09714285714285714
791,99.0,175,TURNOVER,29,0.1657142857142857
